timestamp,key,input_type
2021-05-22 17:51:27.063842,5,KEYBOARD
2021-05-22 17:51:27.184179,6,KEYBOARD
2021-05-22 17:51:27.758680,*,KEYBOARD
2021-05-22 17:51:28.437248,4,KEYBOARD
2021-05-22 17:51:28.723428,2,KEYBOARD
2021-05-22 17:51:29.614504,+,KEYBOARD
2021-05-22 17:51:29.949397,3,KEYBOARD
2021-05-22 17:51:30.238351,6,KEYBOARD
2021-05-22 17:51:30.621618,9,KEYBOARD
2021-05-22 17:51:30.923851,8,KEYBOARD
2021-05-22 17:51:31.236142,Evaluate,KEYBOARD
2021-05-22 17:51:32.399784,-,KEYBOARD
2021-05-22 17:51:32.747007,1,KEYBOARD
2021-05-22 17:51:32.998528,5,KEYBOARD
2021-05-22 17:51:33.251409,5,KEYBOARD
2021-05-22 17:51:34.218867,+,KEYBOARD
2021-05-22 17:51:34.498455,5,KEYBOARD
2021-05-22 17:51:34.630867,0,KEYBOARD
2021-05-22 17:51:35.065397,Evaluate,KEYBOARD
2021-05-22 17:51:36.398061,*,BUTTON
2021-05-22 17:51:37.066457,6,BUTTON
2021-05-22 17:51:37.613654,9,BUTTON
2021-05-22 17:51:38.059595,8,BUTTON
2021-05-22 17:51:39.011798,5,BUTTON
2021-05-22 17:51:40.675589,-,BUTTON
2021-05-22 17:51:41.094939,3,BUTTON
2021-05-22 17:51:41.477686,2,BUTTON
2021-05-22 17:51:42.529758,.,BUTTON
2021-05-22 17:51:42.992167,5,BUTTON
2021-05-22 17:51:43.708204,Evaluate,BUTTON
2021-05-22 17:51:45.219524,-,KEYBOARD
2021-05-22 17:51:45.606999,5,KEYBOARD
2021-05-22 17:51:46.009588,Evaluate,KEYBOARD
2021-05-22 17:51:59.884191,Clear,BUTTON
2021-05-22 17:52:00.456912,8,BUTTON
2021-05-22 17:52:00.918181,9,BUTTON
2021-05-22 17:52:01.531832,/,BUTTON
2021-05-22 17:52:02.066639,5,BUTTON
2021-05-22 17:52:03.384740,Evaluate,BUTTON
2021-05-22 17:52:05.672719,-,BUTTON
2021-05-22 17:52:06.157258,5,BUTTON
2021-05-22 17:52:07.654022,+,BUTTON
2021-05-22 17:52:08.095289,3,BUTTON
2021-05-22 17:52:08.487765,Evaluate,BUTTON
2021-05-22 17:52:10.282154,/,BUTTON
2021-05-22 17:52:10.860457,5,BUTTON
2021-05-22 17:52:11.131931,8,BUTTON
2021-05-22 17:52:11.738320,4,BUTTON
2021-05-22 17:52:13.087915,Evaluate,BUTTON
2021-05-22 17:52:14.996218,+,BUTTON
2021-05-22 17:52:15.445735,0,BUTTON
2021-05-22 17:52:15.750717,.,BUTTON
2021-05-22 17:52:16.201710,0,BUTTON
2021-05-22 17:52:16.736120,8,BUTTON
2021-05-22 17:52:17.249432,Evaluate,BUTTON
2021-05-22 17:52:18.578836,+,BUTTON
2021-05-22 17:52:18.943442,0,BUTTON
2021-05-22 17:52:19.213665,.,BUTTON
2021-05-22 17:52:19.767285,9,BUTTON
2021-05-22 17:52:20.137110,Evaluate,BUTTON
2021-05-22 17:52:22.044701,-,BUTTON
2021-05-22 17:52:23.047459,0,BUTTON
2021-05-22 17:52:23.491302,.,BUTTON
2021-05-22 17:52:23.887551,0,BUTTON
2021-05-22 17:52:24.861466,0,BUTTON
2021-05-22 17:52:25.289819,7,BUTTON
2021-05-22 17:52:25.745585,Evaluate,BUTTON
2021-05-22 17:52:42.018683,Clear,BUTTON
2021-05-22 17:52:42.346944,5,KEYBOARD
2021-05-22 17:52:42.535366,6,KEYBOARD
2021-05-22 17:52:43.845749,*,KEYBOARD
2021-05-22 17:52:44.336262,5,KEYBOARD
2021-05-22 17:52:44.730753,Evaluate,KEYBOARD
2021-05-22 17:52:46.044757,-,KEYBOARD
2021-05-22 17:52:46.477552,2,KEYBOARD
2021-05-22 17:52:46.583336,5,KEYBOARD
2021-05-22 17:52:46.716314,0,KEYBOARD
2021-05-22 17:52:46.959734,Evaluate,KEYBOARD
2021-05-22 17:52:49.167228,+,BUTTON
2021-05-22 17:52:50.079273,3,BUTTON
2021-05-22 17:52:50.487327,0,BUTTON
2021-05-22 17:52:50.936243,Evaluate,BUTTON
2021-05-22 17:52:53.289458,/,BUTTON
2021-05-22 17:52:54.239483,5,BUTTON
2021-05-22 17:52:54.887451,Evaluate,KEYBOARD
2021-05-22 17:52:56.255501,*,BUTTON
2021-05-22 17:52:57.051976,5,BUTTON
2021-05-22 17:52:57.338106,5,BUTTON
2021-05-22 17:52:57.524092,Evaluate,KEYBOARD
2021-05-22 17:53:00.112729,+,BUTTON
2021-05-22 17:53:00.663068,3,BUTTON
2021-05-22 17:53:01.254844,Evaluate,BUTTON
