timestamp,key,input_type
2021-05-24 15:04:12.636761,EXPERIMENT_START,BUTTON
2021-05-24 15:04:12.639483,1,BUTTON
2021-05-24 15:04:13.150409,+,BUTTON
2021-05-24 15:04:13.632791,2,BUTTON
2021-05-24 15:04:13.946728,+,BUTTON
2021-05-24 15:04:14.237894,3,BUTTON
2021-05-24 15:04:14.481133,+,BUTTON
2021-05-24 15:04:14.872492,4,BUTTON
2021-05-24 15:04:15.245034,+,BUTTON
2021-05-24 15:04:15.562589,5,BUTTON
2021-05-24 15:04:15.895088,+,BUTTON
2021-05-24 15:04:16.277666,6,BUTTON
2021-05-24 15:04:16.553217,+,BUTTON
2021-05-24 15:04:16.945968,7,BUTTON
2021-05-24 15:04:17.305771,+,BUTTON
2021-05-24 15:04:17.741330,8,BUTTON
2021-05-24 15:04:18.081172,+,BUTTON
2021-05-24 15:04:18.436044,9,BUTTON
2021-05-24 15:04:18.724016,+,BUTTON
2021-05-24 15:04:19.095405,1,BUTTON
2021-05-24 15:04:19.290610,0,BUTTON
2021-05-24 15:04:19.612525,+,BUTTON
2021-05-24 15:04:19.902212,1,BUTTON
2021-05-24 15:04:20.074982,1,BUTTON
2021-05-24 15:04:20.421900,+,BUTTON
2021-05-24 15:04:20.717176,1,BUTTON
2021-05-24 15:04:20.978609,2,BUTTON
2021-05-24 15:04:21.287695,+,BUTTON
2021-05-24 15:04:21.587597,1,BUTTON
2021-05-24 15:04:21.906634,3,BUTTON
2021-05-24 15:04:22.200218,+,BUTTON
2021-05-24 15:04:22.539588,1,BUTTON
2021-05-24 15:04:23.114054,4,BUTTON
2021-05-24 15:04:23.531230,+,BUTTON
2021-05-24 15:04:23.901470,1,BUTTON
2021-05-24 15:04:24.180672,5,BUTTON
2021-05-24 15:04:24.528905,+,BUTTON
2021-05-24 15:04:24.889055,1,BUTTON
2021-05-24 15:04:25.232284,6,BUTTON
2021-05-24 15:04:25.521949,+,BUTTON
2021-05-24 15:04:25.917563,1,BUTTON
2021-05-24 15:04:26.214294,7,BUTTON
2021-05-24 15:04:26.530659,+,BUTTON
2021-05-24 15:04:26.877784,1,BUTTON
2021-05-24 15:04:27.174082,8,BUTTON
2021-05-24 15:04:27.569677,+,BUTTON
2021-05-24 15:04:27.918224,1,BUTTON
2021-05-24 15:04:28.201415,9,BUTTON
2021-05-24 15:04:28.633465,+,BUTTON
2021-05-24 15:04:28.993835,2,BUTTON
2021-05-24 15:04:29.219773,0,BUTTON
2021-05-24 15:04:29.496844,Evaluate,BUTTON
2021-05-24 15:04:29.795174,EXPERIMENT_END,BUTTON
2021-05-24 15:04:31.166617,EXPERIMENT_START,BUTTON
2021-05-24 15:04:31.169041,1,BUTTON
2021-05-24 15:04:31.599458,+,BUTTON
2021-05-24 15:04:31.991761,2,BUTTON
2021-05-24 15:04:32.301131,+,BUTTON
2021-05-24 15:04:32.585080,3,BUTTON
