timestamp,key,input_type
2021-05-25 18:58:39.395497,EXPERIMENT_START,BUTTON
2021-05-25 18:58:39.395497,3,BUTTON
2021-05-25 18:58:39.874308,*,BUTTON
2021-05-25 18:58:40.338649,3,BUTTON
2021-05-25 18:58:40.786802,+,BUTTON
2021-05-25 18:58:41.424382,4,BUTTON
2021-05-25 18:58:42.080938,*,BUTTON
2021-05-25 18:58:42.827161,4,BUTTON
2021-05-25 18:58:43.571283,Evaluate,BUTTON
2021-05-25 18:58:44.090437,*,BUTTON
2021-05-25 18:58:44.602731,1,BUTTON
2021-05-25 18:58:45.024531,5,BUTTON
2021-05-25 18:58:45.712308,.,BUTTON
2021-05-25 18:58:46.303679,2,BUTTON
2021-05-25 18:58:47.130630,Evaluate,BUTTON
2021-05-25 18:58:47.130630,EXPERIMENT_END,BUTTON
2021-05-25 18:58:49.143918,EXPERIMENT_START,BUTTON
2021-05-25 18:58:49.143918,3,BUTTON
2021-05-25 18:58:49.623815,*,BUTTON
2021-05-25 18:58:50.170375,3,BUTTON
2021-05-25 18:58:50.607697,+,BUTTON
2021-05-25 18:58:51.427227,4,BUTTON
2021-05-25 18:58:52.002033,*,BUTTON
2021-05-25 18:58:52.562107,4,BUTTON
2021-05-25 18:58:53.147082,Evaluate,BUTTON
2021-05-25 18:58:53.783355,*,BUTTON
2021-05-25 18:58:54.385835,1,BUTTON
2021-05-25 18:58:55.063890,5,BUTTON
2021-05-25 18:58:55.511924,.,BUTTON
2021-05-25 18:58:56.063935,2,BUTTON
2021-05-25 18:58:56.658628,Evaluate,BUTTON
2021-05-25 18:58:56.658628,EXPERIMENT_END,BUTTON
2021-05-25 18:59:00.234361,EXPERIMENT_START,BUTTON
2021-05-25 18:59:00.234361,3,BUTTON
2021-05-25 18:59:00.671441,*,BUTTON
2021-05-25 18:59:01.228499,3,BUTTON
2021-05-25 18:59:01.776196,+,BUTTON
2021-05-25 18:59:02.414463,4,BUTTON
2021-05-25 18:59:03.017934,*,BUTTON
2021-05-25 18:59:03.595663,4,BUTTON
2021-05-25 18:59:04.303757,Evaluate,BUTTON
2021-05-25 18:59:05.127656,*,BUTTON
2021-05-25 18:59:05.690720,1,BUTTON
2021-05-25 18:59:06.122562,5,BUTTON
2021-05-25 18:59:06.566202,.,BUTTON
2021-05-25 18:59:07.130135,2,BUTTON
2021-05-25 18:59:07.915993,Evaluate,BUTTON
2021-05-25 18:59:07.915993,EXPERIMENT_END,BUTTON
2021-05-25 18:59:10.026095,EXPERIMENT_START,BUTTON
2021-05-25 18:59:10.026095,3,BUTTON
2021-05-25 18:59:10.449515,*,BUTTON
2021-05-25 18:59:10.925863,3,BUTTON
2021-05-25 18:59:11.462033,+,BUTTON
2021-05-25 18:59:11.994376,4,BUTTON
2021-05-25 18:59:12.466092,*,BUTTON
2021-05-25 18:59:13.122486,4,BUTTON
2021-05-25 18:59:13.934082,Evaluate,BUTTON
2021-05-25 18:59:14.478727,*,BUTTON
2021-05-25 18:59:15.075015,1,BUTTON
2021-05-25 18:59:15.527173,5,BUTTON
2021-05-25 18:59:15.990553,.,BUTTON
2021-05-25 18:59:16.566448,2,BUTTON
2021-05-25 18:59:17.451817,Evaluate,BUTTON
2021-05-25 18:59:17.451817,EXPERIMENT_END,BUTTON
2021-05-25 18:59:20.589368,EXPERIMENT_START,BUTTON
2021-05-25 18:59:20.589368,3,BUTTON
2021-05-25 18:59:21.014446,*,BUTTON
2021-05-25 18:59:21.451971,3,BUTTON
2021-05-25 18:59:21.877660,+,BUTTON
2021-05-25 18:59:22.405459,4,BUTTON
2021-05-25 18:59:22.838062,*,BUTTON
2021-05-25 18:59:23.358578,4,BUTTON
2021-05-25 18:59:24.374311,Evaluate,BUTTON
2021-05-25 18:59:25.294172,*,BUTTON
2021-05-25 18:59:25.847000,1,BUTTON
2021-05-25 18:59:26.245784,5,BUTTON
2021-05-25 18:59:26.678895,.,BUTTON
2021-05-25 18:59:27.294711,2,BUTTON
2021-05-25 18:59:27.933269,Evaluate,BUTTON
2021-05-25 18:59:27.933269,EXPERIMENT_END,BUTTON
2021-05-25 18:17:12.690708,EXPERIMENT_START,BUTTON
2021-05-25 18:17:12.692662,3,BUTTON
2021-05-25 18:17:13.123175,*,BUTTON
2021-05-25 18:17:13.482541,3,BUTTON
2021-05-25 18:17:13.945257,+,BUTTON
2021-05-25 18:17:14.359727,4,BUTTON
2021-05-25 18:17:14.802122,*,BUTTON
2021-05-25 18:17:15.786349,4,BUTTON
2021-05-25 18:17:17.123214,Evaluate,BUTTON
2021-05-25 18:17:17.689227,*,BUTTON
2021-05-25 18:17:18.190627,1,BUTTON
2021-05-25 18:17:18.517444,5,BUTTON
2021-05-25 18:17:18.986667,.,BUTTON
2021-05-25 18:17:19.389918,2,BUTTON
2021-05-25 18:17:19.895927,Evaluate,BUTTON
2021-05-25 18:17:19.895927,EXPERIMENT_END,BUTTON
2021-05-25 18:17:22.132180,EXPERIMENT_START,BUTTON
2021-05-25 18:17:22.134134,3,BUTTON
2021-05-25 18:17:22.465026,*,BUTTON
2021-05-25 18:17:22.866907,3,BUTTON
2021-05-25 18:17:23.189664,+,BUTTON
2021-05-25 18:17:23.597661,4,BUTTON
2021-05-25 18:17:24.062153,*,BUTTON
2021-05-25 18:17:25.302223,4,BUTTON
2021-05-25 18:17:26.063447,Evaluate,BUTTON
2021-05-25 18:17:27.111928,*,BUTTON
2021-05-25 18:17:27.576533,1,BUTTON
2021-05-25 18:17:27.898979,5,BUTTON
2021-05-25 18:17:28.311374,.,BUTTON
2021-05-25 18:17:28.660167,2,BUTTON
2021-05-25 18:17:29.278460,Evaluate,BUTTON
2021-05-25 18:17:29.278460,EXPERIMENT_END,BUTTON
2021-05-25 18:17:31.323109,EXPERIMENT_START,BUTTON
2021-05-25 18:17:31.325063,3,BUTTON
2021-05-25 18:17:31.683635,*,BUTTON
2021-05-25 18:17:32.044113,3,BUTTON
2021-05-25 18:17:32.392306,+,BUTTON
2021-05-25 18:17:32.801208,4,BUTTON
2021-05-25 18:17:33.229335,*,BUTTON
2021-05-25 18:17:33.643398,4,BUTTON
2021-05-25 18:17:34.092465,Evaluate,BUTTON
2021-05-25 18:17:34.586666,*,BUTTON
2021-05-25 18:17:35.030962,1,BUTTON
2021-05-25 18:17:35.370364,5,BUTTON
2021-05-25 18:17:35.753459,.,BUTTON
2021-05-25 18:17:36.116867,2,BUTTON
2021-05-25 18:17:36.530673,Evaluate,BUTTON
2021-05-25 18:17:36.530673,EXPERIMENT_END,BUTTON
2021-05-25 18:17:39.202992,EXPERIMENT_START,BUTTON
2021-05-25 18:17:39.204945,3,BUTTON
2021-05-25 18:17:39.521442,*,BUTTON
2021-05-25 18:17:39.883547,3,BUTTON
2021-05-25 18:17:40.232587,+,BUTTON
2021-05-25 18:17:40.613117,4,BUTTON
2021-05-25 18:17:41.077259,*,BUTTON
2021-05-25 18:17:41.742115,4,BUTTON
2021-05-25 18:17:42.336534,Evaluate,BUTTON
2021-05-25 18:17:42.844783,*,BUTTON
2021-05-25 18:17:43.201286,1,BUTTON
2021-05-25 18:17:43.506814,5,BUTTON
2021-05-25 18:17:43.898944,.,BUTTON
2021-05-25 18:17:44.242139,2,BUTTON
2021-05-25 18:17:44.775762,Evaluate,BUTTON
2021-05-25 18:17:44.775762,EXPERIMENT_END,BUTTON
2021-05-25 18:17:47.235512,EXPERIMENT_START,BUTTON
2021-05-25 18:17:47.236489,3,BUTTON
2021-05-25 18:17:47.677922,*,BUTTON
2021-05-25 18:17:48.039215,3,BUTTON
2021-05-25 18:17:48.314087,+,BUTTON
2021-05-25 18:17:48.714522,4,BUTTON
2021-05-25 18:17:49.162336,*,BUTTON
2021-05-25 18:17:50.166404,4,BUTTON
2021-05-25 18:17:50.747129,Evaluate,BUTTON
2021-05-25 18:17:51.194976,*,BUTTON
2021-05-25 18:17:51.599457,1,BUTTON
2021-05-25 18:17:51.914827,5,BUTTON
2021-05-25 18:17:52.298848,.,BUTTON
2021-05-25 18:17:52.707209,2,BUTTON
2021-05-25 18:17:53.782561,Evaluate,BUTTON
2021-05-25 18:17:53.782561,EXPERIMENT_END,BUTTON
