timestamp,key,input_type
2021-05-24 15:02:20.310808,EXPERIMENT_START,KEYBOARD
2021-05-24 15:02:20.313149,1,KEYBOARD
2021-05-24 15:02:20.620644,+,KEYBOARD
2021-05-24 15:02:20.851894,2,KEYBOARD
2021-05-24 15:02:21.134979,+,KEYBOARD
2021-05-24 15:02:21.296891,3,KEYBOARD
2021-05-24 15:02:21.514151,+,KEYBOARD
2021-05-24 15:02:21.660237,4,KEYBOARD
2021-05-24 15:02:21.880314,+,KEYBOARD
2021-05-24 15:02:22.039379,5,KEYBOARD
2021-05-24 15:02:22.274505,+,KEYBOARD
2021-05-24 15:02:22.475793,6,KEYBOARD
2021-05-24 15:02:22.657751,+,KEYBOARD
2021-05-24 15:02:22.812794,7,KEYBOARD
2021-05-24 15:02:23.089169,+,KEYBOARD
2021-05-24 15:02:23.285941,8,KEYBOARD
2021-05-24 15:02:23.541186,+,KEYBOARD
2021-05-24 15:02:23.755438,9,KEYBOARD
2021-05-24 15:02:24.079426,+,KEYBOARD
2021-05-24 15:02:24.265624,1,KEYBOARD
2021-05-24 15:02:24.355520,0,KEYBOARD
2021-05-24 15:02:24.598563,+,KEYBOARD
2021-05-24 15:02:24.856835,2,KEYBOARD
2021-05-24 15:02:26.004479,Backspace,KEYBOARD
2021-05-24 15:02:26.273616,1,KEYBOARD
2021-05-24 15:02:26.453601,1,KEYBOARD
2021-05-24 15:02:26.844985,+,KEYBOARD
2021-05-24 15:02:27.013799,1,KEYBOARD
2021-05-24 15:02:27.113255,2,KEYBOARD
2021-05-24 15:02:27.347213,+,KEYBOARD
2021-05-24 15:02:27.514241,1,KEYBOARD
2021-05-24 15:02:27.546176,3,KEYBOARD
2021-05-24 15:02:27.813447,+,KEYBOARD
2021-05-24 15:02:28.021595,1,KEYBOARD
2021-05-24 15:02:28.086438,4,KEYBOARD
2021-05-24 15:02:28.318652,+,KEYBOARD
2021-05-24 15:02:28.462693,1,KEYBOARD
2021-05-24 15:02:28.571726,5,KEYBOARD
2021-05-24 15:02:28.724811,+,KEYBOARD
2021-05-24 15:02:28.865912,1,KEYBOARD
2021-05-24 15:02:28.938891,6,KEYBOARD
2021-05-24 15:02:29.129095,+,KEYBOARD
2021-05-24 15:02:29.329043,1,KEYBOARD
2021-05-24 15:02:29.663344,7,KEYBOARD
2021-05-24 15:02:29.883480,+,KEYBOARD
2021-05-24 15:02:30.081642,1,KEYBOARD
2021-05-24 15:02:30.193682,8,KEYBOARD
2021-05-24 15:02:30.458689,+,KEYBOARD
2021-05-24 15:02:30.594826,1,KEYBOARD
2021-05-24 15:02:30.695916,9,KEYBOARD
2021-05-24 15:02:31.052124,+,KEYBOARD
2021-05-24 15:02:31.183875,2,KEYBOARD
2021-05-24 15:02:31.317128,0,KEYBOARD
2021-05-24 15:02:31.599893,Evaluate,KEYBOARD
2021-05-24 15:02:32.545908,EXPERIMENT_END,BUTTON
2021-05-24 15:02:35.126009,EXPERIMENT_START,KEYBOARD
2021-05-24 15:02:35.128100,1,KEYBOARD
2021-05-24 15:02:35.310055,+,KEYBOARD
2021-05-24 15:02:35.541343,2,KEYBOARD
2021-05-24 15:02:35.754162,+,KEYBOARD
2021-05-24 15:02:35.957352,3,KEYBOARD
2021-05-24 15:02:36.155434,+,KEYBOARD
2021-05-24 15:02:36.350495,4,KEYBOARD
2021-05-24 15:02:36.560580,+,KEYBOARD
2021-05-24 15:02:36.809837,5,KEYBOARD
2021-05-24 15:02:37.026888,+,KEYBOARD
2021-05-24 15:02:37.196999,6,KEYBOARD
2021-05-24 15:02:37.387027,+,KEYBOARD
2021-05-24 15:02:37.589167,7,KEYBOARD
2021-05-24 15:02:37.816318,+,KEYBOARD
2021-05-24 15:02:38.002397,8,KEYBOARD
2021-05-24 15:02:38.155310,+,KEYBOARD
2021-05-24 15:02:38.386573,9,KEYBOARD
2021-05-24 15:02:38.608743,+,KEYBOARD
2021-05-24 15:02:38.838730,1,KEYBOARD
2021-05-24 15:02:38.975788,0,KEYBOARD
2021-05-24 15:02:39.277034,+,KEYBOARD
2021-05-24 15:02:39.428990,1,KEYBOARD
2021-05-24 15:02:39.637264,1,KEYBOARD
2021-05-24 15:02:39.809378,+,KEYBOARD
2021-05-24 15:02:39.910249,1,KEYBOARD
2021-05-24 15:02:40.017390,2,KEYBOARD
2021-05-24 15:02:40.199473,+,KEYBOARD
2021-05-24 15:02:40.351602,1,KEYBOARD
2021-05-24 15:02:40.449664,3,KEYBOARD
2021-05-24 15:02:40.639698,+,KEYBOARD
2021-05-24 15:02:40.829901,1,KEYBOARD
2021-05-24 15:02:40.936975,4,KEYBOARD
2021-05-24 15:02:41.125012,+,KEYBOARD
2021-05-24 15:02:41.262951,1,KEYBOARD
2021-05-24 15:02:41.362149,5,KEYBOARD
2021-05-24 15:02:41.527159,+,KEYBOARD
2021-05-24 15:02:41.657269,1,KEYBOARD
2021-05-24 15:02:41.747311,6,KEYBOARD
2021-05-24 15:02:41.861333,+,KEYBOARD
2021-05-24 15:02:42.060517,1,KEYBOARD
2021-05-24 15:02:42.182541,7,KEYBOARD
2021-05-24 15:02:42.295490,+,KEYBOARD
2021-05-24 15:02:42.491900,1,KEYBOARD
2021-05-24 15:02:42.633832,8,KEYBOARD
2021-05-24 15:02:42.918012,+,KEYBOARD
2021-05-24 15:02:43.071933,1,KEYBOARD
2021-05-24 15:02:43.214133,9,KEYBOARD
2021-05-24 15:02:43.382117,+,KEYBOARD
2021-05-24 15:02:43.707319,2,KEYBOARD
2021-05-24 15:02:43.784388,0,KEYBOARD
2021-05-24 15:02:44.293693,Evaluate,KEYBOARD
